06. 30 (월) ~ 07. 11 (금)	2024-후기(2025년 8월 졸업) 졸업사정 기간
06. 30 (월)	2025-1학기 성적 이관일
7월
06. 24 (화) ~ 07. 14 (월)	2025-여름 계절학기 수업기간
06. 30 (월) ~ 07. 11 (금)	2024-후기(2025년 8월 졸업) 졸업사정 기간
07. 07 (월) ~ 07. 13 (일)	2025-2학기 복학 신청 기간
07. 14 (월) ~ 07. 18 (금)	2025-2학기 (학과->융합자율학부) 소속변경 신청 기간
07. 14 (월) ~ 07. 15 (화)	2025-2학기 학사학위취득유예 신청 기간
07. 14 (월)	2025-여름 계절학기 종강일
07. 15 (화)	2025-여름 계절학기 성적 이관일
07. 15 (화)	2025-여름 계절학기 성적 확인 및 이의신청 기간
07. 16 (수) ~ 07. 17 (목)	2024-후기(2025년 8월 졸업) 졸업사정 결과조회
07. 21 (월) ~ 07. 25 (금)	2025-2학기 2차 전공 신청 및 변경 기간
07. 21 (월) ~ 07. 25 (금)	2025-2학기 자기주도설계전공 신청 기간
07. 28 (월) ~ 08. 03 (일)	2025-하계 에코집중휴무기간
8월
07. 28 (월) ~ 08. 03 (일)	2025-하계 에코집중휴무기간
08. 04 (월) ~ 08. 07 (목)	2025-2학기 수강바구니 신청 기간
08. 11 (월) ~ 08. 12 (화)	2025-2학기 수강신청 기간
08. 13 (수)	2025-2학기 제한수업 신청 기간
08. 14 (목)	2024-후기(2025년 8월 졸업) 학위수여식
08. 15 (금)	광복절
08. 18 (월) ~ 08. 22 (금)	2025-2학기 분할납부 신청 기간
08. 18 (월) ~ 08. 20 (수)	2025-2학기 재학생 등록 기간
08. 22 (금)	2025-하계방학 종료일
08. 25 (월) ~ 09. 19 (금)	2025-2학기 2차 교내장학금 신청 기간
08. 25 (월)	2025-2학기 개강일
08. 25 (월) ~ 08. 29 (금)	2025-2학기 대체과목재수강 신청 기간
08. 25 (월) ~ 08. 29 (금)	2025-2학기 수강신청 변경 기간
08. 27 (수) ~ 08. 29 (금)	2025-2학기 2차 등록기간 및 1차 분할납부 등록기간
9월
08. 25 (월) ~ 09. 19 (금)	2025-2학기 2차 교내장학금 신청 기간
09. 01 (월) ~ 09. 05 (금)	2025-2학기 조기졸업 신청 기간
09. 03 (수) ~ 09. 05 (금)	2025-2학기 초과학기자 등록기간
09. 08 (월) ~ 09. 12 (금)	2025-2학기 수강과목 철회 기간
09. 23 (화)	2025-2학기 수업일수 30일선
09. 24 (수) ~ 09. 26 (금)	2025-2학기 2차 분할납부 등록기간
09. 24 (수) ~ 10. 01 (수)	휴학 및 자퇴신청 일시제한
10월
09. 24 (수) ~ 10. 01 (수)	휴학 및 자퇴신청 일시제한
10. 03 (금)	개천절
10. 05 (일) ~ 10. 07 (화)	추석연휴
10. 08 (수)	대체공휴일
10. 09 (목)	한글날
10. 22 (수) ~ 10. 24 (금)	2025-2학기 3차 분할납부 등록 기간
10. 23 (목)	2025-2학기 수업일수 60일선
10. 28 (화) ~ 10. 29 (수)	2025-2학기 워크숍
11월
11. 10 (월) ~ 11. 14 (금)	2026-1학기 재입학 원서 접수 기간
11. 17 (월) ~ 11. 21 (금)	2025-겨울 계절학기 수강신청 기간
11. 17 (월) ~ 12. 12 (금)	2026-1학기 1차 교내장학금 신청 기간
11. 17 (월) ~ 11. 21 (금)	2026-1학기 1차 전공 신청 및 변경 기간
11. 22 (토)	2025-2학기 수업일수 90일선
12월
11. 17 (월) ~ 12. 12 (금)	2026-1학기 1차 교내장학금 신청 기간
12. 01 (월) ~ 12. 12 (금)	2025-2학기 기말고사 기간
12. 01 (월) ~ 12. 05 (금)	2025-겨울 계절학기 등록 기간
12. 12 (금)	2025-2학기 종강일
12. 15 (월) ~ 01. 08 (목)	2025-겨울 계절학기 수업 기간
12. 18 (목) ~ 12. 22 (월)	2025-2학기 성적 확인 및 이의신청 기간
12. 23 (화)	2025-2학기 성적 이관일
12. 23 (화) ~ 01. 09 (금)	2025-전기(2026년 2월 졸업) 졸업사정 기간
12. 24 (수) ~ 12. 25 (목)	성탄절 휴무
12. 31 (수) ~ 01. 01 (목)	신정 휴무
2026 1월
12. 15 (월) ~ 01. 08 (목)	2025-겨울 계절학기 수업 기간
12. 23 (화) ~ 01. 09 (금)	2025-전기(2026년 2월 졸업) 졸업사정 기간
12. 31 (수) ~ 01. 01 (목)	신정 휴무
01. 05 (월) ~ 01. 09 (금)	2026-1학기 복학 신청 기간
01. 08 (목)	2025-겨울 계절학기 종강일
01. 12 (월)	2025-겨울 계절학기 성적 확인 및 이의신청 기간
01. 12 (월) ~ 01. 16 (금)	2026-1학기 (학과->융합자율학부) 소속변경 신청 기간
01. 12 (월) ~ 01. 13 (화)	2026-1학기 학사학위취득유예 신청 기간
01. 13 (화)	2025-겨울 계절학기 성적 이관일
01. 14 (수) ~ 01. 15 (목)	2025-전기(2026년 2월 졸업) 졸업사정 결과조회
01. 19 (월) ~ 01. 23 (금)	2026-1학기 2차 전공 신청 및 변경 기간
01. 19 (월) ~ 01. 22 (목)	2026-1학기 수강바구니 신청 기간
01. 19 (월) ~ 01. 23 (금)	2026-1학기 자기주도설계전공 신청 기간
01. 26 (월) ~ 02. 01 (일)	2025-동계 에코집중휴무기간
2월
01. 26 (월) ~ 02. 01 (일)	2025-동계 에코집중휴무기간
02. 09 (월) ~ 02. 10 (화)	2026-1학기 수강신청 기간
02. 11 (수)	2026-1학기 제한수업 신청 기간
02. 12 (목)	2025-전기(2026년 2월 졸업) 학위수여식
02. 16 (월) ~ 02. 18 (수)	설 연휴
02. 23 (월) ~ 02. 27 (금)	2026-1학기 분할납부 신청기간
02. 23 (월) ~ 02. 25 (수)	2026-1학기 재학생 등록기간
02. 23 (월)	2026학년도 신입생 입학식
02. 24 (화)	2026학년도 신.편입생 수강신청
02. 25 (수) ~ 02. 26 (목)	2026학년도 신입생 새내기배움터
02. 27 (금)	2025-동계방학 종료일
3월
03. 02 (월)	대체공휴일
03. 03 (화)	2026-1학기 개강일"
